seq,Credit_Default,BE_SCORE_ON_OD,BNI_SCORE_ON_OD,BUSAGE,BUSSTRUC,MAXLINEUTIL,AVGLINEUTIL12,MAXLINEBALRT,MAXTIMESLBAL12,DAYSDELQ,TOTDAYSDELQ12,TOTACBAL,MAXDELQ,TOTDELQ12,DEPOSITRT,AVGDEPRT12,ALL_OPEN_TRADE_UT,BR_OPEN_TRADE_UT,BR_TRADE_PAST_DUE
7,1,637,292,67,1,0.8702,0.768375,0.9535,0,0,0,26322.47,0,4,0.0949,0.0486,57,57,0
4,1,618,736,97,1,0.8449,0.552183,0.8449,0,0,0,84498.81,1,5,0,0.2137,75,75,0
8,1,452,357,25,1,1.0927,0.962591,1.0927,8,0,0,32782.18,1,1,0,0.4224,91,95,2
9,1,816,968,72,1,0.8626,0.636644,0.8583,0,0,0,64109.12,0,0,0.0104,0.6894,50,4,0
7,1,782,968,151,2,1.0085,0.737366,1.0085,1,0,0,55469.94,7,7,0,0.095,19,0,0
5,1,753,966,46,1,0.0897,0.268708,0.0897,0,0,0,4487.07,2,9,0,0.1085,43,2,0
8,1,624,229,51,2,0.9759,0.844527,0.9759,2,0,0,58558.81,0,7,0,0.0824,82,92,0
7,1,651,268,15,1,1.0346,1.04264,1.0448,6,0,0,20896.77,1,1,0,0.7988,93,93,0
6,1,796,971,82,1,0.9095,0.902733,0.9095,0,0,0,36382.52,2,4,0,0.2494,74,74,0
2,1,798,961,56,2,0.1484,0.215433,0.1568,0,0,0,7422.57,0,6,0.0884,0.5183,2,2,0
8,1,625,113,46,1,0.9996,0.993866,1.0062,7,0,0,60372.51,4,9,0.0056,0.0218,90,95,0
9,1,445,196,14,1,,,,,0,0,,,,,,46,,0
5,1,0,0,57,1,1.0093,0.827591,1.0129,3,0,0,25564.72,1,1,0,2.0106,17,17,0
7,1,435,66,12,3,,,,,0,0,,,,,,56,86,4
5,1,644,963,57,1,0.6412,0.63805,0.6412,6,0,0,41680.18,2,5,0,0.1524,69,5,0
3,1,636,568,14,2,0,0,0,0,0,0,,,,,,69,71,0
8,1,722,969,39,3,0.9571,0.963266,0.9897,0,0,0,57425.57,0,0,0.0609,0.0609,32,0,0
2,1,698,952,31,1,0.6882,0.788381,0.9703,2,0,0,17206.74,0,3,0.9175,0.2203,38,,
8,1,600,612,46,1,0.9654,0.89345,0.9654,0,0,0,28962.59,0,0,0.6174,0.7905,68,68,0
8,1,730,962,31,1,0.2819,0.2819,0.2819,0,0,0,16919.56,0,0,0,0,37,37,0
2,1,597,587,94,1,0.9799,0.903241,1.0609,3,0,0,58795.76,0,4,1.1868,0.3343,90,91,1
9,1,786,963,44,2,0.7077,0.7179,0.7077,0,0,0,28309.56,1,2,0,0.0358,1,0,0
7,1,724,776,48,1,1.1311,1.123927,1.6815,10,0,0,6131.57,0,0,2.8142,3.8994,101,93,0
7,1,477,452,150,2,0.977,0.973027,1.0641,9,0,0,19540.64,0,2,1.5548,0.6407,66,,
5,1,486,148,53,1,0.8366,0.778975,0.9908,4,0,0,5693.14,0,0,1.2576,1.6863,46,98,0
6,1,714,969,28,2,0.0355,0.0229,0.0381,0,0,0,571.88,1,2,0,2.2531,,,
9,1,666,956,46,1,1.0154,0.912825,1.021,9,0,0,60924.81,2,4,0.0123,0.1159,95,95,0
4,1,666,932,25,1,0.9223,0.733541,0.9223,1,0,0,31590.47,2,2,0,0.5816,79,97,0
4,1,736,962,48,1,0,0.3498,0,0,0,0,38344.29,0,0,0.0053,0.6774,18,5,1
10,1,603,789,133,1,0.569,0.804433,0.9981,1,0,0,40284.3,0,0,0.9115,1.7438,90,92,0
10,1,673,533,34,3,0.7903,0.686366,0.8302,0,0,0,23709.06,0,0,0.0622,0.5925,64,45,0
6,1,691,427,36,2,0.9717,0.742808,0.9781,0,0,0,29151.7,0,0,0.0147,0.0584,72,73,0
2,1,741,945,12,4,,,,,0,0,,,,,,45,45,0
7,1,482,885,25,2,,,,,0,2,,,,,,89,76,1
2,1,677,920,86,1,0.6688,0.7864,0.7637,3,0,0,45827.61,3,4,0.0098,0.0923,,,
9,1,726,943,15,1,,,,,74,2,,,,,,92,92,0
8,1,560,74,13,1,,,,,2,0,,,,,,64,84,1
5,1,668,555,49,2,1.0434,1.02698,1.2258,9,215,4,4173.67,1,6,0.2616,0.2234,99,100,0
5,1,627,942,153,1,0.4972,0.74215,0.5918,0,0,0,29833.57,0,5,0.1965,0.0557,80,80,0
4,1,667,953,35,1,,,,,0,0,,,,,,87,,0
3,1,731,924,63,2,0.9837,0.256691,0.9916,0,0,0,73778.32,0,6,0.0135,0.4757,63,69,0
9,1,732,976,30,1,0.6524,0.4572,0.6524,0,0,0,16311.36,0,1,0,0.6572,48,27,0
2,1,670,619,41,2,0.1334,0.247175,0.9312,0,0,2,666.5,0,0,10.5058,6.6406,76,94,0
5,1,0,0,38,2,,,,,0,0,,,,,,,,
2,1,624,885,76,1,0.8254,0.817022,0.8434,0,0,0,41540.86,0,1,0.0216,0.0319,42,26,0
3,1,664,840,44,1,0.3656,0.29505,0.7618,0,0,0,10969.92,0,0,1.8055,1.1116,0,0,0
4,1,480,184,77,4,0.7059,0.822441,0.8919,6,0,4,7059.62,0,5,0.7538,0.5013,35,0,0
6,1,797,966,25,1,,,,,0,0,,,,,,25,28,0
6,1,708,934,69,4,0.987,0.790133,0.9942,0,0,0,29826.96,1,5,0,0.0375,56,70,0
7,1,775,965,353,1,0,0,0,0,0,0,,,,,,22,22,0
10,1,652,598,82,1,0.928,0.7995,0.9746,0,0,0,57593.65,0,0,0.8885,1.1053,32,63,0
2,1,654,473,62,1,0,0.780345,1.0676,4,0,0,106760.25,0,0,0.9749,1.8464,86,95,0
3,1,556,639,198,1,0.7308,0.794783,0.7363,2,0,0,22089.37,1,3,0,0.6907,86,99,0
9,1,679,928,42,1,0.9958,1.15949,1.1328,10,0,0,24896.6,0,0,0.3678,1.0296,78,78,0
6,1,725,851,151,1,0.5218,0.564641,0.5218,0,0,2,53179.29,1,5,0,0.1971,49,20,0
3,1,633,803,12,4,0.8771,0.7513,0.8771,0,0,0,43859.23,0,1,0.0062,0.1954,53,82,0
8,1,644,426,79,2,,,,,77,2,,,,,,67,97,0
2,1,692,969,46,1,0.5873,0.600677,0.5873,4,0,0,17619.07,1,1,0.0052,0.1994,,,0
